score,days_remaining,contract,vendor,value,start_date,end_date,agency,sub_agency,description,generated_internal_id,internal_id,solicitation_id,awarding_office,funding_office,recipient_uei,recipient_city,recipient_state,recipient_country,recipient_address,recipient_zip,performance_city,performance_state,performance_country,performance_zip,competition_type,solicitation_procedure,pricing_type,psc_code,psc_description,parent_contract,parent_contract_type
80,9,19GE5026F0321,PIEPENBROCK GOVERNMENT SERVICES GMBH + CO. KG,1107718.61,2025-06-25,2026-06-26,Department of State,Department of State,"JANITORIAL SERVICES AT AMERICAN CONSULATE GENERAL FRANKFURT AND CLEANING OF COMMON AREAS AT CARL-SCHURZ-SIEDLUNG HOUSING AREA, FRANKFURT, GERMANY, DURING THE THIRD OPTION YEAR OF THE CONTRACT.",CONT_AWD_19GE5026F0321_1900_19GE5023D0017_1900,359121871,19GE5023R0022,ACQUISITIONS - RPSO FRANKFURT,BUREAU OF EUROPEAN AND EURASIAN AFF,T7Z7R6P4MS76,ESCHBORN,,GERMANY,DUSSELDORFER STR. 13,65760,,,GERMANY,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,FIRM FIXED PRICE,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,19GE5023D0017,INDEFINITE DELIVERY / INDEFINITE QUANTITY
80,9,19GE5025F0344,PIEPENBROCK GOVERNMENT SERVICES GMBH + CO. KG,1087538.14,2025-06-25,2026-06-26,Department of State,Department of State,"JANITORIAL SERVICES AT AMERICAN CONSULATE GENERAL FRANKFURT AND CLEANING OF COMMON AREAS AT CARL-SCHURZ-SIEDLUNG HOUSING AREA, FRANKFURT, GERMANY, DURING THE SECOND OPTION YEAR OF THE CONTRACT.",CONT_AWD_19GE5025F0344_1900_19GE5023D0017_1900,278820447,19GE5023R0022,ACQUISITIONS - RPSO FRANKFURT,BUREAU OF EUROPEAN AND EURASIAN AFF,T7Z7R6P4MS76,ESCHBORN,,GERMANY,DUSSELDORFER STR. 13,65760,,,GERMANY,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,FIRM FIXED PRICE,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,19GE5023D0017,INDEFINITE DELIVERY / INDEFINITE QUANTITY
80,9,HU000122F0030,"C2 ALASKA, LLC",10241262.45,2022-06-27,2026-06-26,Department of Defense,Uniformed Services University of the Health Sciences,CUSTODIAL SERVICES,CONT_AWD_HU000122F0030_9700_HU000122D0004_9700,307935240,HU000122Q0035,USUHS,USUHS,GAVTYB3AKC29,SAN ANTONIO,TX,UNITED STATES,5253 PRUE RD STE 230,78240,BETHESDA,MD,UNITED STATES,20814,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,FIRM FIXED PRICE,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,HU000122D0004,INDEFINITE DELIVERY / INDEFINITE QUANTITY
80,13,FA820126F0092,PARC COMMUNITY PARTNERSHIP FOUNDATION,3033656.31,2026-04-01,2026-06-30,Department of Defense,Department of the Air Force,"CUSTODIAL SERVICES PERFORMED AT HILL AIR FORCE BASE (HAFB), LITTLE MOUNTAIN TEST FACILITY (LM) AND UTAH TEST AND TRAINING RANGE OASIS (UTTR).  TOTAL CONTRACT MAXIMUM IS AN ESTIMATE.",CONT_AWD_FA820126F0092_9700_FA820124D0015_9700,359127561,,FA8201  AFSC OL H PZIO,F2D0AC 75 CE,R7KCSGMVL267,CLEARFIELD,UT,UNITED STATES,485 PARC CIR,84015,HILL AFB,UT,UNITED STATES,84056,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,FIRM FIXED PRICE,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,FA820124D0015,INDEFINITE DELIVERY / INDEFINITE QUANTITY
80,13,FA706026F0026,DAVIS MEMORIAL GOODWILL INDUSTRIES,1132014.32,2026-03-01,2026-06-30,Department of Defense,Department of the Air Force,PKA - CUSTODIAL OPTION YEAR I - FUNDING POP 01 MAR 26 - 30 JUN 26,CONT_AWD_FA706026F0026_9700_FA706025D0001_9700,358702839,,FA7060 11TH CONTRACTING SQ PK,F4J327 11WG CES CEA,DZ2UAL6LK186,WASHINGTON,DC,UNITED STATES,1140 3RD ST NE,20002,WASHINGTON,DC,UNITED STATES,20032,NOT COMPETED,ONLY ONE SOURCE,FIRM FIXED PRICE,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,FA706025D0001,INDEFINITE DELIVERY / INDEFINITE QUANTITY
80,13,FA700026F0047,"LR-ASSOCIATES, LLC",1753848.45,2026-03-01,2026-06-30,Department of Defense,Department of the Air Force,ORDER ACADEMIC AND ATHLETIC CUSTODIAL SERVICES IAW PRICE SCHEDULE REVISION 9.1 DATED 28 JULY 2025 AND PERFORMANCE WORK STATEMENT REVISION 8.1 DATED 28 JULY 2025.,CONT_AWD_FA700026F0047_9700_FA700025D0001_9700,358442843,,FA7000  10 CONS LGC,F4BQ00 10 CE,F8CRLEZ1WJJ1,HERNDON,VA,UNITED STATES,250 EXCHANGE PL STE H,20170,USAF ACADEMY,CO,UNITED STATES,80840,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,FIRM FIXED PRICE,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,FA700025D0001,INDEFINITE DELIVERY / INDEFINITE QUANTITY
80,13,FA700026F0046,GOODWILL INDUSTRIAL SERVICES CORP,1674545.35,2026-03-01,2026-06-30,Department of Defense,Department of the Air Force,ORDER BASE AND CADET DORM CUSTODIAL SERVICES FOR 1 MARCH 2026 - 30 JUNE 2026.,CONT_AWD_FA700026F0046_9700_FA700022D0008_9700,358442842,,FA7000  10 CONS LGC,F4BQ00 10 CE,GWNQNKK82P63,COLORADO SPRINGS,CO,UNITED STATES,1460 GARDEN OF THE GODS RD,80907,USAF ACADEMY,CO,UNITED STATES,80840,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,FIRM FIXED PRICE,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,FA700022D0008,INDEFINITE DELIVERY / INDEFINITE QUANTITY
80,13,FA448426F0031,OCCUPATIONAL TRAINING CENTER OF BURLINGTON COUNTY,2848642.54,2025-10-01,2026-06-30,Department of Defense,Department of the Air Force,JBMDL BASE CUSTODIAL SERVICES,CONT_AWD_FA448426F0031_9700_FA448422D0008_9700,355307868,,FA4484  87 CONS PK,87 CES CEO,FN79N9A6RLB8,BURLINGTON TOWNSHIP,NJ,UNITED STATES,2 MANHATTAN DRIVE,08016,TRENTON,NJ,UNITED STATES,08641,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,FIRM FIXED PRICE,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,FA448422D0008,INDEFINITE DELIVERY / REQUIREMENTS
80,13,N4008525F0754,COASTAL ENTERPRISES OF JACKSONVILLE INC,11277050.48,2025-08-28,2026-06-30,Department of Defense,Department of the Navy,OPTION YEAR TWO FUNDS,CONT_AWD_N4008525F0754_9700_N4008523D0065_9700,353009003,,NAVFACSYSCOM MID-ATLANTIC,NAVMEDCEN CAMP LEJEUNE NC,UN43CBJTGAU7,JACKSONVILLE,NC,UNITED STATES,224 WHITE ST,28546,CAMP LEJEUNE,NC,UNITED STATES,28547,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,FIRM FIXED PRICE,S216,HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,N4008523D0065,INDEFINITE DELIVERY / INDEFINITE QUANTITY
80,13,W91QV125FA093,SERVICESOURCE INC,2381353.38,2025-07-01,2026-06-30,Department of Defense,Department of the Army,THIS CONTRACT SUPPORTS JOINT BASE MEYER HENDERSON HALL (JBMHH) FOOD SERVICE REQUIREMENTS TO MEET DINING FACILITY ATTENDANT (DFA) SERVICE AND COOK SUPPORT NEEDS AT THE DESIGNATED DINING FACILITY.,CONT_AWD_W91QV125FA093_9700_W9124J22D0003_9700,350451950,,W6QM MICC-FT BELVOIR,W6X0 USALRCTR JB MYER HE,XE8KLB3SCAN9,OAKTON,VA,UNITED STATES,10467 WHITE GRANITE DRIVE,22124,FORT MYER,VA,UNITED STATES,22211,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,FIRM FIXED PRICE,S203,HOUSEKEEPING- FOOD,W9124J22D0003,INDEFINITE DELIVERY / INDEFINITE QUANTITY
